title,year,codec,resolution,size_gb,bpp,hdr_status,cambi_score,block_mean,blur_mean,encoder_settings,verdict,audio,relative_path
Kill Bill The Whole Bloody Affair,2004,HEVC,2160p,27.17,0.0773,DV/HDR10,0.808,0.0,0.0,psy-rd=2.00 rc=abr bitrate=15000 qcomp=0.60 aq-mode=2,STARVED-BUT-CLEAN,EAC3 6ch,Kill.Bill.The.Whole.Bloody.Affair.2004.2160p.PCOK.WEB-DL.DDP.5.1.DV.HDR.H.265-PiRaTeS/Kill.Bill.The.Whole.Bloody.Affair.2004.2160p.PCOK.WEB-DL.DDP.5.1.DV.HDR.H.265-PiRaTeS.mkv
Kill Bill Vol 1,2003,HEVC,2160p,11.85,0.0767,DV/HDR10,0.019,0.0,0.0,psy-rd=2.00 rc=abr bitrate=15000 qcomp=0.60 aq-mode=2,STARVED-BUT-CLEAN,EAC3 6ch,Kill.Bill.Vol.1.2003.2160p.PCOK.WEB-DL.DDP.5.1.DV.HDR.H.265-PiRaTeS/Kill.Bill.Vol.1.2003.2160p.PCOK.WEB-DL.DDP.5.1.DV.HDR.H.265-PiRaTeS.mkv
Klaus,2019,HEVC,2160p,5.29,0.0387,DV/HDR10,0.794,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Klaus.2019.2160p.NF.WEB-DL.DDP.5.1.Atmos.DoVi.HDR.HEVC-SiC/Klaus.2019.2160p.NF.WEB-DL.DDP.5.1.Atmos.DoVi.HDR.HEVC-SiC.mkv
Mad.Max.Fury.Road.2015-2160p.BluRay.DV.HDR.10.bit.Encode.AV1.DTS.5.1-R and H,0,AV1,2160p,7.47,0.0447,DV/HDR10,0.541,0.0,0.0,None,STARVED-BUT-CLEAN,DTS 6ch,Mad.Max.Fury.Road.2015-2160p.BluRay.DV.HDR.10.bit.Encode.AV1.DTS.5.1-R and H/Mad.Max.Fury.Road.2015-2160p.BluRay.DV.HDR.10.bit.Encode.AV1.DTS.5.1-R and H.mkv
No Country for Old Men,2007,AV1,2160p,8.24,0.0485,DV/HDR10,0.21,0.0,0.0,None,STARVED-BUT-CLEAN,DTS 6ch,No.Country.for.Old.Men.2007.2160p.BluRay.DV.HDR10.DTS-HD.MA.5.1.AV1-RandH/No.Country.for.Old.Men.2007.2160p.BluRay.DV.HDR10.DTS-HD.MA.5.1.AV1-RandH.mkv
Oppenheimer,2023,AV1,2160p,11.71,0.0467,DV/HDR10,2.669,0.0,0.0,None,STARVED-BUT-CLEAN,DTS 6ch,Oppenheimer.2023.2160p.BluRay.DTS.5.1.DV.HDR.AV1-R and H/Oppenheimer.2023.2160p.BluRay.DTS.5.1.DV.HDR.AV1-R and H.mkv
Platoon.1986-2160p.BluRay.HDR10.10.bit.Encode.AV1.DDP.5.1-R and H,0,AV1,2160p,7.06,0.0441,HDR10,0.917,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Platoon.1986-2160p.BluRay.HDR10.10.bit.Encode.AV1.DDP.5.1-R and H/Platoon.1986-2160p.BluRay.HDR10.10.bit.Encode.AV1.DDP.5.1-R and H.mkv
Project Hail Mary,2026,AV1,2160p,10.69,0.0492,DV/HDR10,0.186,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Project.Hail.Mary.2026.2160p.WEBRip.DDP5.1.Atmos.DV.HDR10+.AV1-RandH/Project.Hail.Mary.2026.2160p.WEBRip.DDP5.1.Atmos.DV.HDR10+.AV1-RandH.mkv
Rocky.1976-2160p.BluRay.DV.HDR.10.bit.Encode.AV1.DTS.5.1-R&H.mkv,0,AV1,2160p,7.04,0.0424,DV/HDR10,0.065,0.0,0.0,None,STARVED-BUT-CLEAN,DTS 6ch,Rocky.1976-2160p.BluRay.DV.HDR.10.bit.Encode.AV1.DTS.5.1-R&H.mkv/Rocky.1976-2160p.BluRay.DV.HDR.10.bit.Encode.AV1.DTS.5.1-R&H.mkv
Schindlers List,1993,AV1,2160p,12.86,0.0474,DV/HDR10,0.133,0.0,0.0,None,STARVED-BUT-CLEAN,DTS 6ch,Schindlers.List.1993.2160p.UHD.BluRay.2160p.DTS-HD.MA.5.1.DV.HDR10+.AV1-RandH/Schindlers.List.1993.2160p.UHD.BluRay.2160p.DTS-HD.MA.5.1.DV.HDR10+.AV1-RandH.mkv
