relative_path,title,year,codec,resolution,width,height,fps,duration_sec,size_gb,bitrate_kbps,bpp,status_flag,audio
Avengers-Endgame-2019-IMAX-2160p DSNP WEB-DL Hybrid H265 DV HDR DDP Atmos 5.1 English-HONE-REPACK-/Avengers-Endgame-2019-IMAX-2160p DSNP WEB-DL Hybrid H265 DV HDR DDP Atmos 5.1 English-HONE-REPACK-.mkv,Avengers-Endgame-2019-IMAX-2160p DSNP WEB-DL Hybrid H265 DV HDR DDP Atmos 5.1 English-HONE-REPACK-,0,HEVC,2160p,3840,2160,23.976,10868.57,17.34,13706.8,0.0689,STARVED,EAC3 6ch
Back.to.the.Future.1985.2160p.UHD.BluRay.DD+5.1.DV.HDR.AV1-Smokindevil/Back.to.the.Future.1985.2160p.UHD.BluRay.DD+5.1.DV.HDR.AV1-Smokindevil.mkv,Back to the Future,1985,AV1,2160p,3840,2076,23.976,6962.29,13.4,16527.0,0.0865,REFERENCE/HEAVY,EAC3 6ch
Backrooms 2026 2160p iT WEB-DL DDP5 1 Atmos DV HDR H 265-BYNDR/Backrooms 2026 2160p iT WEB-DL DDP5 1 Atmos DV HDR H 265-BYNDR.mkv,Backrooms,2026,HEVC,2160p,3836,2072,23.976,6628.79,19.49,25261.2,0.1326,OPTIMAL,EAC3 6ch
Barry.Lyndon.1975.UHD.BluRay.2160p.DD.5.1.DV.HDR.x265-BHDStudio/Barry.Lyndon.1975.UHD.BluRay.2160p.DD.5.1.DV.HDR.x265-BHDStudio.mp4,Barry Lyndon,1975,HEVC,2160p,3588,2160,23.976,11113.76,21.58,16676.7,0.0897,OPTIMAL,AC3 6ch
Batman.Begins.2005.2160p.BluRay.DTS-HD.MA.5.1.DV.HDR.AV1-R and H/Batman.Begins.2005.2160p.BluRay.DTS-HD.MA.5.1.DV.HDR.AV1-R and H.mkv,Batman Begins,2005,AV1,2160p,3840,2160,23.976,8403.9,14.41,14733.2,0.0741,OPTIMAL,DTS 6ch
Batman.Mask.of.the.Phantasm.1993.UHD.BluRay.2160p.DD.5.1.DV.HDR.x265-BHDStudio/Batman.Mask.of.the.Phantasm.1993.UHD.BluRay.2160p.DD.5.1.DV.HDR.x265-BHDStudio.mp4,Batman Mask of the Phantasm,1993,HEVC,2160p,3840,2076,23.976,4587.79,8.89,16642.4,0.0871,OPTIMAL,AC3 6ch
Before.Sunrise.1995.1080p.NF.WEB-DL.AAC2.0.AV1-Saon/Before.Sunrise.1995.1080p.NF.WEB-DL.AAC2.0.AV1-Saon.mkv,Before Sunrise,1995,AV1,1080p,1920,1080,23.976,6051.88,4.71,6678.6,0.1343,RES-ANOMALY,AAC 2ch
Before.Sunset.2004.1080p.NF.WEB-DL.DDP5.1.AV1-Saon/Before.Sunset.2004.1080p.NF.WEB-DL.DDP5.1.AV1-Saon.mkv,Before Sunset,2004,AV1,1080p,1920,1080,23.976,4814.98,4.77,8511.8,0.1712,RES-ANOMALY,EAC3 6ch
Ben-Hur.1959.RM.MULTi.VFi.2160p.DV.BluRay.4K.AC3.AV1-TiFou/Ben-Hur.1959.RM.MULTi.VFi.2160p.DV.BluRay.4K.AC3.AV1-TiFou.mkv,Ben-Hur,1959,AV1,2160p,3840,1392,23.976,12973.38,36.5,24168.4,0.1886,REFERENCE/HEAVY,AC3 6ch
Blackhats.2015.1080p.AMZN.WEB-DL.DDP.2.0.H.264-PiRaTeS/Blackhats.2015.1080p.AMZN.WEB-DL.DDP.2.0.H.264-PiRaTeS.mkv,Blackhats,2015,H264,1080p,1920,1080,23.976,6299.49,9.07,12367.5,0.2488,RES-ANOMALY,EAC3 2ch
